paper_name,detection_folder,observation_datetimes,detection_time,detection_mjd,bary_mjd,detection_dm,detection_downsampling,detection_snr,filename,file_location,t_peak,iquv,xyphase,bandpass,lofar_obs,struct_opt_dm,struct_opt_dm_err,width_ms,snr,fluence_Jyms,fluence_err,flux_Jy,flux_err,ncomp,drift_rate,drift_rate_err,drift_trust,fluct_id_low,fluct_id_high,freq_id_low,freq_id_high,t0,t1,ds_freq,ds_time,delta_dm,smooth,phase_16.29_58369.9
A01,2020-03-22-10:03:39.R3,2020-03-22T10:03:39.0,4590.8,58930.4723356482,58930.47097294,348,5,11.5,CB00_10.0sec_dm0_t04590_sb-1_tab00,/tank/data/FRBs/R3/20200322/snippet/all/CB00_10.0sec_dm0_t04590_sb-1_tab00.fil,5,/tank/data/FRBs/R3/20200322/iquv/CB00/numpyarr/R3_mjd58930.472321_dedisp348.80.npy,/tank/data/FRBs/R3/20200322/iquv/CB00/polcal/xy_phase.npy,/tank/data/FRBs/R3/20200322/iquv/CB00/polcal/bandpass.npy,,348.697178832103,0.201707142200237,0.16,11.36,1.78,0.36,12.93,1.29,1,,,,10,150,0,1536,400,1221,8,1,0,0,0.32238
A02,2020-03-23-11:05:38.R3,2020-03-23T11:05:38.0,4354.47,58931.5126443287,58931.51122577,349,5,12.7,CB00_10.0sec_dm0_t04354_sb35_tab00,/tank/data/FRBs/R3/20200323/snippet/CB00_10.0sec_dm0_t04354_sb35_tab00.fil,5,,,,,348.882928497498,0.181848602044438,0.25,15.07,6.24,1.25,14,1.4,1,,,,10,150,0,1536,400,1221,8,1,0,0,0.38601
A03,2020-03-23-11:05:38.R3,2020-03-23T11:05:38.0,7599.3,58931.5502002315,58931.54877968,348,25,13.4,CB00_10.0sec_dm0_t07599_sb35_tab00,/tank/data/FRBs/R3/20200323/snippet/CB00_10.0sec_dm0_t07599_sb35_tab00.fil,5,,,,,349.016847236701,0.590263692378185,4.01,13.53,7.99,1.6,3.11,0.31,1,,,,10,150,0,1536,400,1221,8,1,0,0,0.3883
A04,2020-03-23-11:05:38.R3,2020-03-23T11:05:38.0,9402.4,58931.5710694444,58931.56964778,348,5,13.4,CB00_10.0sec_dm0_t09402_sb35_tab00,/tank/data/FRBs/R3/20200323/snippet/CB00_10.0sec_dm0_t09402_sb35_tab00.fil,5,,,,,348.701065596394,0.974493100487616,1.06,13.55,4.24,0.85,6.05,0.6,1,,,,10,150,0,1536,400,1221,8,1,0,0,0.38958
A05,2020-05-09-11:45:55.R3,2020-05-09T11:45:55.0,9363.27,58978.598591088,58978.59561357,348.2,5,13.6,CB00_10.0sec_dm0_t09363_sb-1_tab00,/tank/data/FRBs/R3/20200509/snippet/all/CB00_10.0sec_dm0_t09363_sb-1_tab00.fil,5,,,,,348.627234341601,0.144303922328561,0.25,21.82,5.25,1.05,11.72,1.17,1,,,,10,150,0,1536,400,1221,8,1,0,0,0.26579
A06,2020-05-10-09:41:43.R3,2020-05-10T09:41:43.0,9234,58979.5108449074,58979.50785914,349,10,8.88,CB00_10.0sec_dm0_t09234_sb-1_tab00,/tank/data/FRBs/R3/20200510/snippet/all/CB00_10.0sec_dm0_t09234_sb-1_tab00.fil,5,,,,,348.347849074478,0.38188934170478,0.82,9.19,3.95,0.79,2.7,0.27,1,,,,10,150,0,1536,400,1221,8,1,0,0,0.32158
A07,2020-05-11-07:36:22.R3,2020-05-11T07:36:22.0,3610.84,58980.3587134259,58980.35572077,348.2,10,16.38,CB00_10.0sec_dm0_t03610_sb-1_tab00,/tank/data/FRBs/R3/20200511/snippet/all/CB00_10.0sec_dm0_t03610_sb-1_tab00.fil,5,/tank/data/FRBs/R3/20200511/CB00/iquv/numpyarr/R3_mjd58980.358687_dedisp348.80.npy,/tank/data/FRBs/R3/20200512/CB00/iquv/polcal/xy_phase.npy,/tank/data/FRBs/R3/20200512/CB00/iquv/polcal/bandpass.npy,L780673,348.754901433673,0.258235764157016,0.98,20.53,8.15,1.63,5.51,0.55,1,,,,10,150,0,1536,400,1221,8,1,0,0,0.37344
A08,2020-05-11-07:36:22.R3,2020-05-11T07:36:22.0,6219.06,58980.3889011574,58980.38590828,350.8,25,29.89,CB00_10.0sec_dm0_t06219_sb-1_tab00,/tank/data/FRBs/R3/20200511/snippet/all/CB00_10.0sec_dm0_t06219_sb-1_tab00.fil,5,/tank/data/FRBs/R3/20200511/CB00/iquv/numpyarr/R3_mjd58980.388874_dedisp348.80.npy,/tank/data/FRBs/R3/20200512/CB00/iquv/polcal/xy_phase.npy,/tank/data/FRBs/R3/20200512/CB00/iquv/polcal/bandpass.npy,L780681,349.443759277546,0.259836811833178,2.79,35.95,15.33,3.07,5.73,0.57,2,-9.1553,,TRUE,10,150,0,1536,400,1221,8,1,0,0,0.37528
A09,2020-05-11-10:42:26.R3,2020-05-11T10:42:26.0,4.15,58980.4461822917,58980.44318898,352,25,13.86,CB00_10.0sec_dm0_t01495_sb-1_tab00,/tank/data/FRBs/R3/20200511/snippet/all/CB00_10.0sec_dm0_t04_sb-1_tab00.fil,4.15,/tank/data/FRBs/R3/20200511/CB00/iquv/numpyarr/R3_mjd58980.446158_dedisp348.80.npy,/tank/data/FRBs/R3/20200512/CB00/iquv/polcal/xy_phase.npy,/tank/data/FRBs/R3/20200512/CB00/iquv/polcal/bandpass.npy,,350.092030711144,0.374408295399396,2.87,13.93,1.7,0.34,2.19,0.22,1,,,,10,150,0,1536,400,1221,8,1,0,0,0.37879
A10,2020-05-11-10:42:26.R3,2020-05-11T10:42:26.0,1780.7,58980.466744213,58980.46375074,347.61,100,17.79,CB00_10.0sec_dm0_t01780_sb-1_tab00,/tank/data/FRBs/R3/20200511/snippet/all/CB00_10.0sec_dm0_t01780_sb-1_tab00.fil,5,,,,L780767,347.861636749834,0.537869098730682,7.13,22.86,14.25,2.85,2.28,0.23,3,-3.9508,2.9466,TRUE,10,150,0,1536,400,1221,8,1,0,0,0.38005
A11,2020-05-11-10:42:26.R3,2020-05-11T10:42:26.0,2317.14,58980.4729530093,58980.46995949,349.2,25,10.12,CB00_10.0sec_dm0_t02317_sb-1_tab00,/tank/data/FRBs/R3/20200511/snippet/all/CB00_10.0sec_dm0_t02317_sb-1_tab00.fil,5,/tank/data/FRBs/R3/20200511/CB00/iquv/numpyarr/R3_mjd58980.466709_dedisp348.80.npy,/tank/data/FRBs/R3/20200512/CB00/iquv/polcal/xy_phase.npy,/tank/data/FRBs/R3/20200512/CB00/iquv/polcal/bandpass.npy,L780767,347.277035283322,0.320377149440993,3.52,7.4,8.33,1.67,1.05,0.1,1,,,,10,150,0,1536,400,1221,8,1,0,0,0.38043
A12,2020-05-11-10:42:26.R3,2020-05-11T10:42:26.0,2688.72,58980.4772537037,58980.47426015,350.2,10,11.02,CB00_10.0sec_dm0_t02688_sb-1_tab00,/tank/data/FRBs/R3/20200511/snippet/all/CB00_10.0sec_dm0_t02688_sb-1_tab00.fil,5,/tank/data/FRBs/R3/20200511/CB00/iquv/numpyarr/R3_mjd58980.477222_dedisp348.80.npy,/tank/data/FRBs/R3/20200512/CB00/iquv/polcal/xy_phase.npy,/tank/data/FRBs/R3/20200512/CB00/iquv/polcal/bandpass.npy,L780767,349.062102071275,0.330796521413899,1.31,11.6,1.57,0.31,2.7,0.27,1,,,,10,150,0,1536,400,1221,8,1,0,0,0.38069
A13,2020-05-11-10:42:26.R3,2020-05-11T10:42:26.0,7153.32,58980.5289273148,58980.52593337,354.45,50,38.61,CB00_10.0sec_dm0_t07153_sb-1_tab00,/tank/data/FRBs/R3/20200511/snippet/all/CB00_10.0sec_dm0_t07153_sb-1_tab00.fil,5,/tank/data/FRBs/R3/20200511/CB00/iquv/numpyarr/R3_mjd58980.528896_dedisp348.80.npy,/tank/data/FRBs/R3/20200512/CB00/iquv/polcal/xy_phase.npy,/tank/data/FRBs/R3/20200512/CB00/iquv/polcal/bandpass.npy,L780769,348.699548984207,0.55784715169499,5.24,51.66,24.23,4.85,6.01,0.6,1,,,,10,150,0,1536,400,1221,8,1,0,0,0.38385
A14,2020-05-11-10:42:26.R3,2020-05-11T10:42:26.0,8913,58980.5492939815,58980.54629988,348,1,14,CB00_10.0sec_dm0_t08913_sb35_tab00,/tank/data/FRBs/R3/20200511/snippet/all/CB00_10.0sec_dm0_t08913_sb35_tab00.fil,5,,,,L780771,348.066666427769,0.435610462837438,0.25,11.83,3.43,0.69,6.35,0.64,1,,,,10,150,0,1536,400,1221,8,1,0,0,0.38509
A15,2020-05-11-10:42:26.R3,2020-05-11T10:42:26.0,8959.9,58980.5498368056,58980.5468427,350,5,12.5,CB00_10.0sec_dm0_t08959_sb35_tab00,/tank/data/FRBs/R3/20200511/snippet/all/CB00_10.0sec_dm0_t08959_sb35_tab00.fil,5,,,,L780771,349.52299194185,0.763255925520471,1.47,11.43,1.29,0.26,2.51,0.25,1,,,,10,150,0,1536,400,1221,8,1,0,0,0.38513
A16,2020-05-11-14:40:00.R3,2020-05-11T14:40:00.0,1495.37,58980.6284186343,58980.62542392,349.4,10,11.47,CB00_10.0sec_dm0_t01495_sb-1_tab00,/tank/data/FRBs/R3/20200511/snippet/all/CB00_10.0sec_dm0_t01495_sb-1_tab00.fil,5,/tank/data/FRBs/R3/20200511/CB00/iquv/numpyarr/R3_mjd58980.628403_dedisp348.80.npy,/tank/data/FRBs/R3/20200512/CB00/iquv/polcal/xy_phase.npy,/tank/data/FRBs/R3/20200512/CB00/iquv/polcal/bandpass.npy,,348.782522356693,0.477658611210461,1.39,11.43,1.24,0.25,2.58,0.26,1,,,,10,150,0,1536,400,1221,8,1,0,0,0.38993
A17,2020-05-11-14:40:00.R3,2020-05-11T14:40:00.0,1889.1,58980.6329756945,58980.62998094,348.06,25,58.14,CB00_10.0sec_dm0_t01889_sb-1_tab00,/tank/data/FRBs/R3/20200511/snippet/all/CB00_10.0sec_dm0_t01889_sb-1_tab00.fil,5,/tank/data/FRBs/R3/20200511/CB00/iquv/numpyarr/R3_mjd58980.632954_dedisp348.80.npy,/tank/data/FRBs/R3/20200512/CB00/iquv/polcal/xy_phase.npy,/tank/data/FRBs/R3/20200512/CB00/iquv/polcal/bandpass.npy,,348.67762185993,0.126749482883235,3.77,74.73,56.05,11.21,10.25,1.02,5,-26.3609,8.9987,TRUE,10,150,0,1536,400,1221,8,1,0,0,0.39021
