# id file dm ncomp dfdt_MHz_ms dfdt_err tdrift terr fdrift ferr
A02 R3_mjd58931.571069_dedisp348.8.npy 348.8 2 -188.5808 inf [-0.1205,0.5832] [0.0183,18.7631] [1503.87,1371.17] [4.48,16.0]
A04 R3_mjd58931.571069_dedisp348.8.npy 348.75 2 -89.3865 0.0000 [-0.0742,0.6707] [0.0172,0.0168] [1456.29,1389.7] [5.29,11.81]
A08 R3_mjd58980.388901_dedisp348.8.npy 349.44 2 -9.1553 inf [-0.8507,0.4821] [0.0519,0.0354] [1465.6,1453.4] [3.15,3.16]
A10 R3_mjd58980.466744_dedisp348.8.npy 348.8 3 -10.8206 4.1175 [-4.8339,-1.7037,0.1926] [0.0245,0.0642,0.0483] [1464.0,1401.31,1405.01] [19.72,8.35,13.42]
A17 R3_mjd58980.632976_dedisp348.8.npy 348.8 5 -37.6197 3.2129 [-0.7273,0.0422,1.0102,1.9468,2.9034] [0.0259,0.0016,0.009,0.0482,0.1084] [1502.56,1481.13,1449.59,1414.76,1313.12] [9.08,3.82,2.11,3.87,14.63]
A18 R3_mjd58980.661888_dedisp348.8.npy 348.87 2 -18.1220 inf [-1.4101,-0.0042] [0.0726,0.0057] [1458.3,1432.83] [2.69,2.36]
A20 R3_mjd58996.157989_dedisp348.8.npy 348.68 2 -10.0114 inf [-0.0692,2.4629] [0.0151,0.1035] [1424.95,1399.6] [8.69,9.49]
A21 R3_mjd58996.195011_dedisp348.8.npy 348.79 2 -3.5584 inf [-2.3292,-0.1523] [0.1928,0.025] [1451.0,1443.25] [6.95,4.1]
A22 R3_mjd58996.241958_dedisp348.8.npy 348.68 2 -8.8254 inf [-0.6028,0.0435] [0.0069,0.0066] [1455.52,1449.81] [2.31,3.11]
A23 R3_mjd58996.274267_dedisp348.8.npy 348.68 3 -42.7414 5.6355 [-0.5943,-0.0901,0.4192] [0.1018,0.0229,0.0486] [1471.97,1454.67,1428.28] [2.34,2.07,2.6]
A25 R3_mjd58996.365218_dedisp348.8.npy 348.78 5 -25.2019 2.9514 [-2.9408,-1.7358,-0.5843,0.0582,0.9117] [0.0843,0.0845,0.0557,0.0324,0.0489] [1413.43,1378.76,1359.37,1333.16,1309.93] [13.25,4.76,4.4,7.23,8.3]
A28 R3_mjd58996.607779_dedisp348.8.npy 348.75 4 -39.4225 8.4305 [-1.2977,-0.0148,0.4559,2.0103] [0.0197,0.0086,0.019,0.0382] [1382.07,1344.15,1308.62,1150.55] [8.27,5.11,8.42,70.19]
A30 R3_mjd58997.219560_dedisp348.8.npy 348.87 3 -25.4726 0.3733 [0.0164,2.8742,7.6351] [0.0094,0.0649,0.1008] [1378.15,1306.28,1181.02] [4.54,13.66,42.34]
A38 R3_mjd59095.029121_dedisp348.8.npy 348.8 2 -82.7635 0.0000 [0.2454,1.0445] [0.0427,0.0278] [1487.28,1421.15] [8.39,5.05]
A39 R3_mjd59095.029121_dedisp348.8.npy 348.75 2 -94.6936 0.0000 [0.0451,1.3832] [0.0055,0.0124] [1316.66,1189.94] [6.15,46.6]
A42 R3_mjd59095.060706_dedisp348.8.npy 348.78 2 3.9288 0.0000 [-0.7086,-0.0171] [0.0556,0.0219] [1426.95,1429.67] [3.44,3.22]
A47 R3_mjd59095.121956_dedisp348.8.npy 348.78 2 -19.0060 0.0000 [-3.2012,0.0295] [0.0083,0.007] [1467.49,1406.09] [4.54,2.17]
A53 R3_mjd59190.727322_dedisp348.8.npy 348.75 12 -6.5529 0.2056 [-10.787,-8.2915,-7.7619,-3.0328,-1.4425,-1.6481,1.6519,6.9766,10.2902,11.5134,13.132,14.2375] [inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf] [1497.8,1484.86,1486.63,1440.47,1437.84,1436.87,1425.15,1396.13,1359.86,1354.24,1348.13,1332.82] [4.88,2.9,2.63,2.57,2.51,2.0,3.06,9.13,4.77,3.76,4.19,3.75]
