# filename    SNR_boxcar   boxcar_width_samples
R3_mjd58930.472321_dedisp348.8.npy: 8.55 6
R3_mjd58980.358687_dedisp348.8.npy: 18.85 13
R3_mjd58980.388874_dedisp348.8.npy: 29.42 31
R3_mjd58980.446158_dedisp348.8.npy: 11.65 34
R3_mjd58980.466709_dedisp348.8.npy: 14.28 13
R3_mjd58980.477222_dedisp348.8.npy: 11.84 19
R3_mjd58980.528896_dedisp348.8.npy: 54.26 33
R3_mjd58980.628403_dedisp348.8.npy: 10.09 12
R3_mjd58980.632954_dedisp348.8.npy: 67.84 19
R3_mjd58980.661873_dedisp348.8.npy: 45.73 39
R3_mjd58981.384374_dedisp348.8.npy: 35.13 14
R3_mjd58996.194985_dedisp348.8.npy: 11.55 6
R3_mjd58996.241942_dedisp348.8.npy: 32.90 16
R3_mjd58996.347941_dedisp348.8.npy: 17.33 35
R3_mjd58996.365186_dedisp348.8.npy: 19.19 26
R3_mjd58996.483105_dedisp348.8.npy: 19.41 8
R3_mjd58996.607761_dedisp348.8.npy: 15.43 7
R3_mjd58997.157874_dedisp348.8.npy: 19.37 6
R3_mjd58997.241786_dedisp348.8.npy: 48.34 14
R3_mjd58997.272625_dedisp348.8.npy: 25.90 9
R3_mjd58997.360956_dedisp348.8.npy: 31.47 7
R3_mjd58997.391320_dedisp348.8.npy: 21.28 6
CB00_10.0sec_dm0_t04354_sb35_tab00.fil: 15.07 3
CB00_10.0sec_dm0_t07599_sb35_tab00.fil: 13.53 49
CB00_10.0sec_dm0_t09402_sb35_tab00.fil: 13.55 13
CB00_10.0sec_dm0_t09363_sb-1_tab00.fil: 21.82 3
CB00_10.0sec_dm0_t09234_sb-1_tab00.fil: 9.19 10
CB00_10.0sec_dm0_t02317_sb-1_tab00.fil: 7.40 43
CB00_10.0sec_dm0_t08913_sb35_tab00.fil: 11.83 3
CB00_10.0sec_dm0_t08959_sb35_tab00.fil: 11.43 18
CB00_10.0sec_dm0_t01612_sb-1_tab00.fil: 19.58 3
CB00_10.0sec_dm0_t011658_sb-1_tab00.fil: 26.16 10
CB00_10.0sec_dm0_t04390_sb-1_tab00.fil: 9.14 82
